Mod:Item:MetaData, Localized Name, Unlocalized Name, Is Block?, Class Name
minecraft:stone:0, Stone, tile.stone.stone, true, net.minecraft.item.ItemStack
minecraft:stone:1, Granite, tile.stone.granite, true, net.minecraft.item.ItemStack
minecraft:stone:2, Polished Granite, tile.stone.graniteSmooth, true, net.minecraft.item.ItemStack
minecraft:stone:3, Diorite, tile.stone.diorite, true, net.minecraft.item.ItemStack
minecraft:stone:4, Polished Diorite, tile.stone.dioriteSmooth, true, net.minecraft.item.ItemStack
minecraft:stone:5, Andesite, tile.stone.andesite, true, net.minecraft.item.ItemStack
minecraft:stone:6, Polished Andesite, tile.stone.andesiteSmooth, true, net.minecraft.item.ItemStack
minecraft:grass, Grass Block, tile.grass, true, net.minecraft.item.ItemColored
minecraft:dirt:0, Dirt, tile.dirt.default, true, net.minecraft.item.ItemStack
minecraft:dirt:1, Coarse Dirt, tile.dirt.coarse, true, net.minecraft.item.ItemStack
minecraft:dirt:2, Podzol, tile.dirt.podzol, true, net.minecraft.item.ItemStack
minecraft:cobblestone, Cobblestone, tile.stonebrick, true, net.minecraft.item.ItemBlock
minecraft:planks:0, Oak Wood Planks, tile.wood.oak, true, net.minecraft.item.ItemStack
minecraft:planks:1, Spruce Wood Planks, tile.wood.spruce, true, net.minecraft.item.ItemStack
minecraft:planks:2, Birch Wood Planks, tile.wood.birch, true, net.minecraft.item.ItemStack
minecraft:planks:3, Jungle Wood Planks, tile.wood.jungle, true, net.minecraft.item.ItemStack
minecraft:planks:4, Acacia Wood Planks, tile.wood.acacia, true, net.minecraft.item.ItemStack
minecraft:planks:5, Dark Oak Wood Planks, tile.wood.big_oak, true, net.minecraft.item.ItemStack
minecraft:sapling:0, Oak Sapling, tile.sapling.oak, true, net.minecraft.item.ItemStack
minecraft:sapling:1, Spruce Sapling, tile.sapling.spruce, true, net.minecraft.item.ItemStack
minecraft:sapling:2, Birch Sapling, tile.sapling.birch, true, net.minecraft.item.ItemStack
minecraft:sapling:3, Jungle Sapling, tile.sapling.jungle, true, net.minecraft.item.ItemStack
minecraft:sapling:4, Acacia Sapling, tile.sapling.acacia, true, net.minecraft.item.ItemStack
minecraft:sapling:5, Dark Oak Sapling, tile.sapling.big_oak, true, net.minecraft.item.ItemStack
minecraft:bedrock, Bedrock, tile.bedrock, true, net.minecraft.item.ItemBlock
minecraft:sand:0, Sand, tile.sand.default, true, net.minecraft.item.ItemStack
minecraft:sand:1, Red Sand, tile.sand.red, true, net.minecraft.item.ItemStack
minecraft:gravel, Gravel, tile.gravel, true, net.minecraft.item.ItemBlock
minecraft:gold_ore, Gold Ore, tile.oreGold, true, net.minecraft.item.ItemBlock
minecraft:iron_ore, Goethite Ore (Iron Ore), tile.oreIron, true, net.minecraft.item.ItemBlock
minecraft:coal_ore, Coal Ore, tile.oreCoal, true, net.minecraft.item.ItemBlock
minecraft:log:0, Oak Wood, tile.log.oak, true, net.minecraft.item.ItemStack
minecraft:log:1, Spruce Wood, tile.log.spruce, true, net.minecraft.item.ItemStack
minecraft:log:2, Birch Wood, tile.log.birch, true, net.minecraft.item.ItemStack
minecraft:log:3, Jungle Wood, tile.log.jungle, true, net.minecraft.item.ItemStack
minecraft:leaves:0, Oak Leaves, tile.leaves.oak, true, net.minecraft.item.ItemStack
minecraft:leaves:1, Spruce Leaves, tile.leaves.spruce, true, net.minecraft.item.ItemStack
minecraft:leaves:2, Birch Leaves, tile.leaves.birch, true, net.minecraft.item.ItemStack
minecraft:leaves:3, Jungle Leaves, tile.leaves.jungle, true, net.minecraft.item.ItemStack
minecraft:sponge:0, Sponge, tile.sponge.dry, true, net.minecraft.item.ItemStack
minecraft:sponge:1, Wet Sponge, tile.sponge.wet, true, net.minecraft.item.ItemStack
minecraft:glass, Glass, tile.glass, true, net.minecraft.item.ItemBlock
minecraft:lapis_ore, Lapis Lazuli Ore, tile.oreLapis, true, net.minecraft.item.ItemBlock
minecraft:lapis_block, Lapis Lazuli Block, tile.blockLapis, true, net.minecraft.item.ItemBlock
minecraft:dispenser, Dispenser, tile.dispenser, true, net.minecraft.item.ItemBlock
minecraft:sandstone:0, Sandstone, tile.sandStone.default, true, net.minecraft.item.ItemStack
minecraft:sandstone:1, Chiseled Sandstone, tile.sandStone.chiseled, true, net.minecraft.item.ItemStack
minecraft:sandstone:2, Smooth Sandstone, tile.sandStone.smooth, true, net.minecraft.item.ItemStack
minecraft:noteblock, Note Block, tile.musicBlock, true, net.minecraft.item.ItemBlock
minecraft:golden_rail, Powered Rail, tile.goldenRail, true, net.minecraft.item.ItemBlock
minecraft:detector_rail, Detector Rail, tile.detectorRail, true, net.minecraft.item.ItemBlock
minecraft:sticky_piston, Sticky Piston, tile.pistonStickyBase, true, net.minecraft.item.ItemPiston
minecraft:web, Cobweb, tile.web, true, net.minecraft.item.ItemBlock
minecraft:tallgrass:1, Grass, tile.tallgrass.grass, true, net.minecraft.item.ItemStack
minecraft:tallgrass:2, Fern, tile.tallgrass.fern, true, net.minecraft.item.ItemStack
minecraft:deadbush, Dead Bush, tile.deadbush, true, net.minecraft.item.ItemBlock
minecraft:piston, Piston, tile.pistonBase, true, net.minecraft.item.ItemPiston
minecraft:wool:0, Wool, tile.cloth.white, true, net.minecraft.item.ItemStack
minecraft:wool:1, Orange Wool, tile.cloth.orange, true, net.minecraft.item.ItemStack
minecraft:wool:2, Magenta Wool, tile.cloth.magenta, true, net.minecraft.item.ItemStack
minecraft:wool:3, Light Blue Wool, tile.cloth.lightBlue, true, net.minecraft.item.ItemStack
minecraft:wool:4, Yellow Wool, tile.cloth.yellow, true, net.minecraft.item.ItemStack
minecraft:wool:5, Lime Wool, tile.cloth.lime, true, net.minecraft.item.ItemStack
minecraft:wool:6, Pink Wool, tile.cloth.pink, true, net.minecraft.item.ItemStack
minecraft:wool:7, Gray Wool, tile.cloth.gray, true, net.minecraft.item.ItemStack
minecraft:wool:8, Light Gray Wool, tile.cloth.silver, true, net.minecraft.item.ItemStack
minecraft:wool:9, Cyan Wool, tile.cloth.cyan, true, net.minecraft.item.ItemStack
minecraft:wool:10, Purple Wool, tile.cloth.purple, true, net.minecraft.item.ItemStack
minecraft:wool:11, Blue Wool, tile.cloth.blue, true, net.minecraft.item.ItemStack
minecraft:wool:12, Brown Wool, tile.cloth.brown, true, net.minecraft.item.ItemStack
minecraft:wool:13, Green Wool, tile.cloth.green, true, net.minecraft.item.ItemStack
minecraft:wool:14, Red Wool, tile.cloth.red, true, net.minecraft.item.ItemStack
minecraft:wool:15, Black Wool, tile.cloth.black, true, net.minecraft.item.ItemStack
minecraft:yellow_flower:0, Dandelion, tile.flower1.dandelion, true, net.minecraft.item.ItemStack
minecraft:red_flower:0, Poppy, tile.flower2.poppy, true, net.minecraft.item.ItemStack
minecraft:red_flower:1, Blue Orchid, tile.flower2.blueOrchid, true, net.minecraft.item.ItemStack
minecraft:red_flower:2, Allium, tile.flower2.allium, true, net.minecraft.item.ItemStack
minecraft:red_flower:3, Azure Bluet, tile.flower2.houstonia, true, net.minecraft.item.ItemStack
minecraft:red_flower:4, Red Tulip, tile.flower2.tulipRed, true, net.minecraft.item.ItemStack
minecraft:red_flower:5, Orange Tulip, tile.flower2.tulipOrange, true, net.minecraft.item.ItemStack
minecraft:red_flower:6, White Tulip, tile.flower2.tulipWhite, true, net.minecraft.item.ItemStack
minecraft:red_flower:7, Pink Tulip, tile.flower2.tulipPink, true, net.minecraft.item.ItemStack
minecraft:red_flower:8, Oxeye Daisy, tile.flower2.oxeyeDaisy, true, net.minecraft.item.ItemStack
minecraft:brown_mushroom, Mushroom, tile.mushroom, true, net.minecraft.item.ItemBlock
minecraft:red_mushroom, Mushroom, tile.mushroom, true, net.minecraft.item.ItemBlock
minecraft:gold_block, Block of Gold, tile.blockGold, true, net.minecraft.item.ItemBlock
minecraft:iron_block, Block of Iron, tile.blockIron, true, net.minecraft.item.ItemBlock
minecraft:stone_slab:0, Stone Slab, tile.stoneSlab.stone, true, net.minecraft.item.ItemStack
minecraft:stone_slab:1, Sandstone Slab, tile.stoneSlab.sand, true, net.minecraft.item.ItemStack
minecraft:stone_slab:3, Cobblestone Slab, tile.stoneSlab.cobble, true, net.minecraft.item.ItemStack
minecraft:stone_slab:4, Bricks Slab, tile.stoneSlab.brick, true, net.minecraft.item.ItemStack
minecraft:stone_slab:5, Stone Bricks Slab, tile.stoneSlab.smoothStoneBrick, true, net.minecraft.item.ItemStack
minecraft:stone_slab:6, Nether Brick Slab, tile.stoneSlab.netherBrick, true, net.minecraft.item.ItemStack
minecraft:stone_slab:7, Quartz Slab, tile.stoneSlab.quartz, true, net.minecraft.item.ItemStack
minecraft:brick_block, Bricks, tile.brick, true, net.minecraft.item.ItemBlock
minecraft:tnt, TNT, tile.tnt, true, net.minecraft.item.ItemBlock
minecraft:bookshelf, Oak Bookshelf, tile.oak_bookshelf, true, net.minecraft.item.ItemBlock
